20080314144209AAoKTa4	Entertainment & Music;Other - Entertainment	Qual é a música que,qdo vc ouve parece que,"vc vai ao Céu"?	? digo ao Céu literalmente,é claro,   mas parece que vc passeia por "outras dimens?es do Universo".......      Qual seria esta música?      Quem canta ou toca?         Bjks e bom fds a todos nós.....
20080314141632AA2ssoG	Entertainment & Music;Polls & Surveys	O que é mais polêmico?	Falar de política ou religi?o? Se vc fosse participar de um debate sobre um desses temas, qual vc escolheria?   Qual a tese que vc defenderia?
20080314181054AA4aLHx	Entertainment & Music;Celebrities	New in america need pop culture info???	i have just moved to america soneone pleasde tell me who this brittney spears is?   Why is she so famous?   i hear much about her why?
20080317123035AABklSm	Entertainment & Music;Polls & Surveys	Quem gosta de Trakinas de morango?	Eu adoro de morango............tenho até isso em uma comunidade do orkut   Obs:Pode ser Trakinas de chocolate também   Vlw
20080316130507AADbryq	Entertainment & Music;Movies	Vc gosta de High School Musical? E Qual a musica e o personagem que vc mais gosta?O que vc espera do 3°?	N/A
20080318174138AASOUZZ	Entertainment & Music;Polls & Surveys	O q fazer qndo estamos muito ansiosos??	aiiii ki raiva, parece ki o tempo naum passa !!      =|
20080316173440AAbbHrP	Entertainment & Music;Music;Singing	Juanes debería ser nominado al premio Nobel de la Paz?	Con su propuesta de Paz sin Fronteras y el concierto realizado en el puente Simón Bolivar crees que deba ser considerado para este premio?
20080317121532AAh5sGT	Entertainment & Music;Television;Other - Television	O que vai passar na tela quente hoje a noite?	N/A
20080319104452AArPjJM	Entertainment & Music;Music;Rock and Pop	Tem alguem aí com mais de 17 anos , que goste de algumas musicas do high school musical??	N/A
20080323164830AAitiX7	Entertainment & Music;Polls & Surveys	?Quién es tu pokémon favorito?	N/A
20080323160116AAAoYt3	Entertainment & Music;Movies	Ent?o, vamos ver se vocês adivinham meus filmes preferidos?	Em cada gênero   Fic??o   Suspense   Romance   Comédia   A??o   Musical   Aventura   Anima??o      Quem acerta mais leva os 10 pontos.
20080323182651AAECusO	Entertainment & Music;Movies	Que gênero de filmes vocês gostariam de ver no cinema brasileiro?	N/A
20080323153958AAllaaF	Entertainment & Music;Television;Comedy	O Q VCS ACHAM DO PROGRAMA ZAPPING ZONE?O Q ACHAM DA APRESENTADO thay gorga do zz?	eu amo o programa
20080320123607AA1Uswb	Entertainment & Music;Music;Other - Music	Vocês sabem que dia vai estrear em outras cidades o filme: Hannah Montana e Miley Cyrus O Melhor dos 2 mundos?	Sem ser no Rio De Janeiro e S?o Paulo , onde moro , por exemplo , no Nordeste??
20080322151221AAJR16d	Entertainment & Music;Other - Entertainment	Gente eu t? t?o estranha ultimalmente!?	Gente eu sou evangélica mais curto rock,compro munhequeria e roupas pretas mais quero fazer balé,ou?o rock mais também gosto de musicas do anos 80.alguém pode me dizer o que está acontecendo comigo?!?   Se n?o eu enlouquesso!
20080320110224AAKjtiz	Entertainment & Music;Celebrities	Se você fosse premiada num concurso: "Passe um dia com seu ídolo" quem você escolheria e onde passaria o dia?	N/A
20080321110730AAwrQ1z	Entertainment & Music;Music;Classical	Musica di questo video?	ciao a tutti   il video è questo    http://it.youtube.com/watch?v=84wiSBP42F... 
20080320114811AAuMt1C	Entertainment & Music;Television;Soap Operas	Quem assistiu chiquititas(brasil)quando era crian?a?? E qual deles(as) vc mais gostava??	Eu era fa das chiquititas quando era crian?a, amava as musicas e dan?as, foi algo q marcou minha infancia. As q eu mais gostava era a Tati(Ana Olivia), Maria(Carla Dias) e Carol(Flavia monteiro)
20080328135600AAWUEq6	Entertainment & Music;Polls & Surveys	Body Shots?	Who wants one and you can pick anyone to take them off of.
20080325205705AAakPyj	Entertainment & Music;Polls & Surveys	?Quién es tu ídolo, tu héroe? La persona a la quién más admiras?	El mio es Uzumaki Naruto XD
20080326094943AAfbNAX	Entertainment & Music;Comics & Animation	?Cuál es tu canción de anime favorita?	N/A
20080323210910AAz7oC9	Entertainment & Music;Polls & Surveys	?A dónde preferirías ir, a Tokyo o a Paris?	N/A
20080323222202AAVu9ak	Entertainment & Music;Polls & Surveys	?Has visto algun extraterrestre?	N/A
20080325110957AAW8SI9	Entertainment & Music;Polls & Surveys	Disputa: Zac Efron x Daniel Radcliffe?	Zac Efron é o Troy de High School Musical:  http://www.rumorsinmusic.com/wp-content/...       Daniel Radcliffe é o bruxinho do filme Harry Potter:  http://www.xcomment.com/g1/img/daniel_ra...          Meu voto vai pra Zac Efron.! Eu acho que o Daniel num tem nada de bonito.
